datetime,season,weather,temp,humidity,windspeed,casual,registered,count,hour,dow,month,year,is_weekend,is_morning_rush,is_evening_rush,is_night,hour_sin,hour_cos,dow_sin,dow_cos,lag_1h,lag_2h,lag_3h,lag_24h,lag_48h,lag_168h,lag_336h,roll_24h_mean,roll_24h_std,roll_168h_mean,roll_168h_std
2011-01-08 00:00:00,3,1,34.65,28.65,30.63,46,173,219,0,5,1,2011,1,0,0,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,187.0,179.0,21.0,61.0,104.0,133.0,,139.58333333333334,56.25092591830519,125.98809523809524,59.662020948468935
2011-01-08 01:00:00,2,1,15.39,85.32,23.14,9,125,134,1,5,1,2011,1,0,0,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,219.0,187.0,179.0,109.0,47.0,220.0,,146.16666666666666,55.898717934015785,126.5,60.08995253126417
2011-01-08 02:00:00,4,2,22.98,81.73,12.8,2,160,162,2,5,1,2011,1,0,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,134.0,219.0,187.0,201.0,209.0,131.0,,147.20833333333334,55.40677965632048,125.98809523809524,59.65338886882945
2011-01-08 03:00:00,1,3,33.11,47.75,29.47,38,43,81,3,5,1,2011,1,0,0,1,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,162.0,134.0,219.0,108.0,129.0,53.0,,145.58333333333334,54.321840164344316,126.17261904761905,59.716896677474274
2011-01-08 04:00:00,3,3,10.01,75.22,35.85,28,152,180,4,5,1,2011,1,0,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,81.0,162.0,134.0,76.0,137.0,213.0,,144.45833333333334,55.402855966776244,126.33928571428571,59.55029378019138
2011-01-08 05:00:00,4,4,26.53,20.0,18.55,24,34,58,5,5,1,2011,1,0,0,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,180.0,81.0,162.0,166.0,130.0,40.0,,148.79166666666666,53.86131883519617,126.14285714285714,59.316696533069305
2011-01-08 06:00:00,4,2,27.65,94.54,25.25,1,162,163,6,5,1,2011,1,0,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,58.0,180.0,81.0,148.0,150.0,195.0,,144.29166666666666,56.792895427284606,126.25,59.17625656728689
2011-01-08 07:00:00,2,3,7.67,64.03,41.98,12,64,76,7,5,1,2011,1,1,0,0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,163.0,58.0,180.0,182.0,121.0,220.0,,144.91666666666666,56.9178788039068,126.05952380952381,59.004891949933956
2011-01-08 08:00:00,3,2,30.84,69.63,7.43,26,170,196,8,5,1,2011,1,1,0,0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,76.0,163.0,58.0,121.0,226.0,196.0,,140.5,58.017238817441076,125.20238095238095,58.677088483154925
2011-01-08 09:00:00,3,3,29.39,73.17,27.26,28,195,223,9,5,1,2011,1,1,0,0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,196.0,76.0,163.0,189.0,163.0,50.0,,143.625,58.933870456270846,125.20238095238095,58.677088483154925
2011-01-08 10:00:00,1,4,6.0,64.91,17.42,13,189,202,10,5,1,2011,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,223.0,196.0,76.0,97.0,53.0,102.0,,145.04166666666666,60.46089585456226,126.23214285714286,58.867147005594475
2011-01-08 11:00:00,3,4,7.73,88.54,35.14,3,158,161,11,5,1,2011,1,0,0,0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,202.0,223.0,196.0,107.0,193.0,10.0,,149.41666666666666,60.63211709307534,126.82738095238095,59.12566511874725
2011-01-08 12:00:00,1,2,6.47,68.78,0.94,7,155,162,12,5,1,2011,1,0,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,161.0,202.0,223.0,167.0,135.0,173.0,,151.66666666666666,59.98816308360276,127.72619047619048,58.483295366263626
2011-01-08 13:00:00,3,3,15.04,92.62,33.52,4,138,142,13,5,1,2011,1,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,162.0,161.0,202.0,115.0,190.0,86.0,,151.45833333333334,59.94126049846567,127.66071428571429,58.438445056012434
2011-01-08 14:00:00,2,1,20.28,66.59,5.14,43,31,74,14,5,1,2011,1,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,142.0,162.0,161.0,178.0,138.0,136.0,,152.58333333333334,59.4788355976978,127.99404761904762,58.359047348896745
2011-01-08 15:00:00,3,4,20.97,33.69,3.24,26,65,91,15,5,1,2011,1,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,74.0,142.0,162.0,71.0,46.0,71.0,,148.25,61.30696109138719,127.625,58.50397268869252
2011-01-08 16:00:00,1,2,13.03,93.09,36.23,23,59,82,16,5,1,2011,1,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,91.0,74.0,142.0,170.0,104.0,168.0,,149.08333333333334,60.33955849060028,127.74404761904762,58.40832901640601
2011-01-08 17:00:00,1,2,32.35,74.53,32.02,43,178,221,17,5,1,2011,1,0,1,0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,82.0,91.0,74.0,62.0,149.0,216.0,,145.41666666666666,61.672287248753356,127.23214285714286,58.430261745060115
2011-01-08 18:00:00,2,3,16.05,75.94,44.75,42,186,228,18,5,1,2011,1,0,1,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,221.0,82.0,91.0,217.0,176.0,92.0,,152.04166666666666,60.85655205100125,127.26190476190476,58.47700178418454
2011-01-08 19:00:00,3,2,6.37,98.84,25.98,33,144,177,19,5,1,2011,1,0,1,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,228.0,221.0,82.0,227.0,174.0,214.0,,152.5,61.40599036066356,128.07142857142858,58.92556671189697
